generation,best_fitness,avg_progress,seed,weights_json
350,422.91,253.63,50,"[[[0.1620817631483078, 8.814962387084961, -7.743063449859619, 0.45052093267440796, 0.6927796602249146], [-16.314651489257812, 14.249860763549805, -8.303877830505371, -1.3602510690689087, 31.043598175048828], [-5.244720458984375, 3.9502487182617188, -3.047651767730713, -7.316295623779297, -5.7723469734191895], [-6.860199928283691, -4.790063381195068, -9.527546882629395, -6.78972864151001, -8.521501541137695], [12.009026527404785, 1.756483793258667, -17.841516494750977, -18.32352066040039, 0.7019204497337341]], [6.443477630615234, 11.499833106994629, -15.036199569702148, -18.805410385131836, -17.25589942932129], [[15.535208702087402, 1.5002247095108032, 9.273736953735352], [-19.98325538635254, -0.11765473335981369, -11.35801887512207], [-16.272010803222656, -2.3561501502990723, 5.2394609451293945], [3.271327495574951, -11.953186988830566, 7.728143215179443], [6.351490497589111, 30.28236961364746, -11.609708786010742]], [-2.2248637676239014, 4.724751949310303, 21.84231185913086], [[5.664982795715332, 16.702239990234375, -9.379298210144043], [23.089859008789062, -27.928674697875977, 5.293644905090332], [19.50825309753418, -11.477624893188477, 21.066043853759766]], [-8.63097095489502, 13.05031681060791, -4.927436828613281], [[-18.249839782714844, -11.39887809753418], [5.587914943695068, -6.742477893829346], [0.8148770928382874, -13.118709564208984]], [-16.76851463317871, 7.445667743682861]]"
351,378.81,275.70,51,"[[[-0.8796306848526001, 8.53960132598877, -8.70449161529541, 0.21126489341259003, 1.692184329032898], [-19.484752655029297, 13.834672927856445, -11.323989868164062, -3.5001108646392822, 29.686744689941406], [-6.486222267150879, 4.59551477432251, 1.4246076345443726, -4.585593223571777, -1.7554768323898315], [-3.2320868968963623, -4.959075450897217, -7.317698001861572, -8.889199256896973, -8.1639404296875], [14.1275053024292, -1.3893567323684692, -21.46087646484375, -17.874692916870117, 1.2624800205230713]], [2.959496021270752, 10.554636001586914, -13.438478469848633, -21.76485824584961, -20.063701629638672], [[16.442642211914062, -1.415623426437378, 9.731581687927246], [-19.630298614501953, -0.9229090213775635, -9.80390453338623], [-14.090173721313477, -7.294837951660156, 8.224447250366211], [3.0283970832824707, -10.620023727416992, 11.170379638671875], [9.616549491882324, 31.673904418945312, -13.052506446838379]], [-1.1924511194229126, 2.157519817352295, 20.098581314086914], [[4.537661552429199, 17.275022506713867, -6.0261664390563965], [25.071575164794922, -24.057296752929688, 4.988560676574707], [18.15947914123535, -10.973721504211426, 20.817394256591797]], [-11.19321060180664, 12.646191596984863, -6.186087131500244], [[-14.24347972869873, -14.012415885925293], [6.140068054199219, -6.568674087524414], [0.6247463822364807, -16.2722225189209]], [-18.261463165283203, 6.158659934997559]]"
352,409.68,291.23,52,"[[[-0.443619042634964, 6.2655558586120605, -7.7549638748168945, -2.29254150390625, 3.817552328109741], [-17.985218048095703, 15.801712036132812, -8.00390911102295, -4.554474830627441, 26.667383193969727], [-4.856602668762207, 4.829473495483398, -2.6351776123046875, -6.2950005531311035, -4.493509292602539], [-6.452652931213379, -5.891042709350586, -6.874385356903076, -8.071944236755371, -9.457731246948242], [13.721994400024414, -0.9045460224151611, -20.67580795288086, -18.778215408325195, -0.5524640083312988]], [5.7488226890563965, 9.235889434814453, -15.43526554107666, -17.730453491210938, -18.20917320251465], [[16.31976318359375, -0.08742377907037735, 6.862382411956787], [-19.10006332397461, 1.0515663623809814, -10.216161727905273], [-16.339521408081055, -5.610649585723877, 6.768489360809326], [6.817944049835205, -13.53419303894043, 11.760058403015137], [7.7642364501953125, 33.97063446044922, -14.835270881652832]], [0.22984972596168518, 4.568158149719238, 21.28008270263672], [[2.8529534339904785, 15.017889022827148, -4.348447799682617], [26.842466354370117, -22.893985748291016, 3.9486172199249268], [17.22576904296875, -13.262594223022461, 19.72808074951172]], [-9.094478607177734, 10.752087593078613, -5.317550182342529], [[-15.343100547790527, -11.699646949768066], [5.781124114990234, -6.10556173324585], [2.125614643096924, -15.64864444732666]], [-16.4268798828125, 6.23601770401001]]"
353,454.48,264.53,53,"[[[1.9157235622406006, 9.715841293334961, -9.876079559326172, -2.971696138381958, 4.131744384765625], [-16.41875648498535, 13.49746036529541, -9.1602144241333, -2.0657289028167725, 28.837242126464844], [-6.117238521575928, 7.918547630310059, -4.861472129821777, -6.639927864074707, -3.3539702892303467], [-7.61724328994751, -4.979837417602539, -9.633670806884766, -8.565680503845215, -8.530029296875], [9.974267959594727, 1.0546889305114746, -18.381505966186523, -19.172588348388672, 0.7086537480354309]], [4.358116626739502, 12.865038871765137, -15.100979804992676, -18.9832820892334, -18.84143829345703], [[14.701704978942871, 1.765462875366211, 9.34195613861084], [-16.76703643798828, -0.8812068700790405, -12.359125137329102], [-10.750977516174316, -3.482541561126709, 3.5715858936309814], [0.7891753315925598, -9.608282089233398, 9.547128677368164], [8.505563735961914, 32.37363052368164, -10.271836280822754]], [-1.5997287034988403, 3.9318315982818604, 21.55259132385254], [[1.8234721422195435, 15.90455150604248, -7.1887736320495605], [20.806020736694336, -25.664833068847656, 5.974883556365967], [18.480865478515625, -9.359163284301758, 23.161865234375]], [-10.093196868896484, 13.080089569091797, -3.464845895767212], [[-13.65479564666748, -12.543395042419434], [6.696001052856445, -8.799210548400879], [0.11756059527397156, -13.883241653442383]], [-14.565282821655273, 5.375689506530762]]"
354,378.25,317.83,54,"[[[-0.9809843897819519, 8.917427062988281, -8.333855628967285, 1.2696521282196045, 2.5248818397521973], [-20.49676513671875, 12.918269157409668, -10.120314598083496, -3.339447498321533, 29.69363784790039], [-5.109105587005615, 5.205042362213135, 1.8495054244995117, -8.777559280395508, -1.82045578956604], [-4.3581953048706055, -5.091846466064453, -7.3189287185668945, -9.937799453735352, -7.987985610961914], [14.797800064086914, -2.9309475421905518, -20.208026885986328, -18.76690673828125, 3.8296170234680176]], [0.7335994839668274, 10.53438663482666, -12.871417045593262, -21.753236770629883, -21.031538009643555], [[15.262885093688965, -2.4576919078826904, 10.36224365234375], [-18.8776912689209, -0.5292591452598572, -8.718077659606934], [-14.327829360961914, -8.144683837890625, 6.285250663757324], [4.358519077301025, -8.849897384643555, 12.060493469238281], [10.352226257324219, 32.8536262512207, -13.184004783630371]], [-1.4187713861465454, 0.16232888400554657, 19.12339973449707], [[3.251929998397827, 14.830806732177734, -6.706043720245361], [22.640003204345703, -21.864032745361328, 6.327937602996826], [20.04017448425293, -10.64228630065918, 20.979270935058594]], [-10.621926307678223, 11.520294189453125, -6.278594017028809], [[-15.400216102600098, -15.502167701721191], [6.658018112182617, -5.976163864135742], [0.9339590072631836, -16.827669143676758]], [-19.13045310974121, 6.393839359283447]]"
355,182.00,116.97,55,"[[[-1.2248187065124512, 8.05849552154541, -9.45915699005127, -0.35967111587524414, 3.579138994216919], [-18.12619972229004, 13.351545333862305, -10.300188064575195, -3.4073362350463867, 30.076297760009766], [-6.195752143859863, 5.665147304534912, 2.5892601013183594, -8.02493953704834, -1.6337324380874634], [-3.0754048824310303, -5.796693325042725, -6.093451023101807, -10.17074203491211, -7.140187740325928], [15.723350524902344, -3.5824620723724365, -21.192337036132812, -19.559972763061523, -0.6368127465248108]], [2.670503854751587, 10.575916290283203, -11.357614517211914, -21.87560272216797, -22.070423126220703], [[15.193233489990234, -1.4932974576950073, 10.562154769897461], [-18.1490535736084, 0.35231485962867737, -8.426739692687988], [-14.632658958435059, -8.300883293151855, 8.300993919372559], [6.743239879608154, -9.266620635986328, 11.009073257446289], [9.790863037109375, 32.06024169921875, -13.08539867401123]], [-0.2116672694683075, 0.6287508606910706, 19.476791381835938], [[4.732609748840332, 15.116646766662598, -7.605435371398926], [22.8884334564209, -23.956253051757812, 5.884349346160889], [20.49993324279785, -10.785252571105957, 19.514102935791016]], [-11.880828857421875, 12.850759506225586, -7.236416339874268], [[-17.274431228637695, -14.235298156738281], [5.833175182342529, -5.553169250488281], [0.2780608832836151, -16.313316345214844]], [-17.540834426879883, 6.829428195953369]]"
356,313.00,228.23,56,"[[[-1.1758298873901367, 7.243239402770996, -9.43504810333252, 1.6036953926086426, 2.731161117553711], [-19.08009910583496, 15.177431106567383, -12.097015380859375, -2.4627020359039307, 31.590614318847656], [-6.814435958862305, 4.672999382019043, 2.914313316345215, -5.195115566253662, -0.8891832232475281], [-2.7093653678894043, -5.061954498291016, -8.758831024169922, -12.27472972869873, -7.370382308959961], [16.247207641601562, -2.755194902420044, -21.309980392456055, -16.520511627197266, 0.7159891724586487]], [0.7187799215316772, 10.223763465881348, -13.251749038696289, -22.313472747802734, -22.457170486450195], [[15.74845027923584, 0.14276576042175293, 8.196513175964355], [-18.151363372802734, 0.8161932229995728, -6.372764587402344], [-14.179847717285156, -7.8227620124816895, 8.427310943603516], [6.63639497756958, -10.575081825256348, 12.176684379577637], [11.737497329711914, 33.32453155517578, -15.204062461853027]], [0.2510174810886383, 0.6552478075027466, 18.919918060302734], [[3.7971901893615723, 14.734139442443848, -6.361441135406494], [24.470844268798828, -21.823810577392578, 5.040939807891846], [18.73507308959961, -10.329687118530273, 20.018949508666992]], [-12.180266380310059, 11.574992179870605, -6.356365203857422], [[-15.54188346862793, -16.2289981842041], [5.536540985107422, -8.028829574584961], [-1.2772306203842163, -17.79648780822754]], [-16.794931411743164, 4.690344333648682]]"
357,347.73,252.47,57,"[[[-0.2103898525238037, 8.262045860290527, -10.888418197631836, -0.7175248861312866, 2.783395767211914], [-20.08220863342285, 14.383153915405273, -9.240463256835938, -3.197787284851074, 30.86355209350586], [-5.7798686027526855, 5.129849910736084, 2.3425464630126953, -6.865860939025879, -2.1074700355529785], [-2.4079933166503906, -8.03813362121582, -4.498709678649902, -9.979302406311035, -6.625108242034912], [15.623751640319824, -4.524889945983887, -19.09366798400879, -17.222909927368164, -0.6751667261123657]], [2.6853089332580566, 9.870854377746582, -11.313623428344727, -21.200580596923828, -21.309757232666016], [[14.706097602844238, -0.40086135268211365, 10.998651504516602], [-19.33171272277832, 1.1813313961029053, -7.791434288024902], [-14.8783597946167, -8.797502517700195, 7.863616466522217], [7.051724910736084, -8.365754127502441, 9.624493598937988], [8.925336837768555, 31.703540802001953, -13.064844131469727]], [-1.9965205192565918, -0.32384687662124634, 17.887941360473633], [[4.769659042358398, 14.87747859954834, -9.349546432495117], [22.82332992553711, -23.428707122802734, 5.449551582336426], [21.751361846923828, -10.16658878326416, 19.66463279724121]], [-11.183357238769531, 12.545435905456543, -4.697617053985596], [[-17.4458065032959, -14.725610733032227], [4.8098344802856445, -5.171113967895508], [0.7772217988967896, -17.627260208129883]], [-16.079618453979492, 4.917656898498535]]"
358,453.06,362.13,58,"[[[-0.23264279961585999, 7.8724212646484375, -9.368951797485352, 1.4256335496902466, 2.023094654083252], [-19.87371253967285, 15.026505470275879, -13.113822937011719, -3.7173845767974854, 32.89848709106445], [-5.039386749267578, 5.2077412605285645, 2.3143348693847656, -7.0904011726379395, -1.9527472257614136], [-3.706829071044922, -6.5747761726379395, -7.564548969268799, -13.32479190826416, -5.938796043395996], [19.106006622314453, -5.391891002655029, -19.398149490356445, -17.79387092590332, 1.8063234090805054]], [0.5060181021690369, 10.641995429992676, -11.475866317749023, -20.893781661987305, -22.32645034790039], [[15.393962860107422, -0.9235838055610657, 9.288055419921875], [-19.434202194213867, -0.9496552348136902, -6.163125514984131], [-12.609375, -9.456619262695312, 8.693243980407715], [7.1330695152282715, -10.418661117553711, 13.049909591674805], [9.732571601867676, 33.3474006652832, -14.72713851928711]], [-1.2533726692199707, -1.722786784172058, 17.19501304626465], [[4.550103664398193, 16.132680892944336, -7.990375995635986], [23.963088989257812, -21.98660659790039, 9.023725509643555], [18.21356201171875, -11.675065994262695, 20.02495002746582]], [-14.493111610412598, 11.591519355773926, -7.545753479003906], [[-18.701648712158203, -14.765266418457031], [5.623963832855225, -7.422661304473877], [-0.32122498750686646, -16.460311889648438]], [-17.05980110168457, 6.5353827476501465]]"
359,393.31,279.63,59,"[[[-0.2680036425590515, 7.414560794830322, -9.00246524810791, 2.224261522293091, 2.013962745666504], [-19.84604263305664, 15.010443687438965, -13.086853981018066, -4.834396839141846, 32.589637756347656], [-5.850134372711182, 5.828968524932861, 2.2016677856445312, -7.23153018951416, -2.7813379764556885], [-4.936572551727295, -6.113699436187744, -6.87085485458374, -13.702303886413574, -7.029984474182129], [19.190704345703125, -3.9074459075927734, -19.417512893676758, -17.412734985351562, 2.1789357662200928]], [1.199802041053772, 11.707427024841309, -11.593501091003418, -20.288145065307617, -22.212400436401367], [[16.506967544555664, 0.2482033669948578, 8.772017478942871], [-19.68816375732422, -1.5243173837661743, -6.467533588409424], [-12.821660041809082, -8.45856761932373, 8.427105903625488], [7.17445182800293, -10.958613395690918, 12.576581954956055], [10.266480445861816, 33.80756378173828, -14.035754203796387]], [-0.9580572843551636, -1.5170124769210815, 16.52790069580078], [[2.6685147285461426, 14.79185962677002, -7.422766208648682], [23.883010864257812, -22.23356056213379, 9.467247009277344], [17.533422470092773, -10.661640167236328, 21.218036651611328]], [-14.927116394042969, 12.925692558288574, -7.493194580078125], [[-19.00779151916504, -13.983599662780762], [5.555642604827881, -7.161193370819092], [-0.20384199917316437, -15.62777042388916]], [-16.67618179321289, 6.205298900604248]]"
360,388.88,246.47,60,"[[[-0.09644411504268646, 6.5026164054870605, -9.926544189453125, 0.0030708431731909513, 2.896019220352173], [-16.63848304748535, 15.927037239074707, -10.455742835998535, -2.914515256881714, 31.822086334228516], [-7.667272090911865, 4.1282477378845215, 4.4444899559021, -8.605541229248047, -1.6253718137741089], [-4.6093645095825195, -5.386606693267822, -5.481853008270264, -11.982515335083008, -5.289087772369385], [17.77518653869629, -3.4895050525665283, -19.525897979736328, -17.432641983032227, 1.3093143701553345]], [0.6748735904693604, 8.458157539367676, -13.5413179397583, -22.705062866210938, -23.444549560546875], [[16.280527114868164, -0.4099920988082886, 8.065997123718262], [-16.835702896118164, -1.1492987871170044, -7.903234958648682], [-14.210862159729004, -11.12631893157959, 7.451083183288574], [6.307110786437988, -11.171976089477539, 10.213794708251953], [10.791936874389648, 33.16487503051758, -12.928099632263184]], [-1.6835064888000488, -2.3153040409088135, 16.640228271484375], [[3.534799575805664, 15.810993194580078, -8.573274612426758], [22.876075744628906, -21.488569259643555, 10.19701862335205], [18.23529052734375, -11.846498489379883, 19.144367218017578]], [-14.71155834197998, 11.242424011230469, -7.050539970397949], [[-19.06169319152832, -14.556184768676758], [4.904882907867432, -7.229388236999512], [-0.4394512176513672, -18.07132339477539]], [-18.997997283935547, 6.1505208015441895]]"
361,431.76,353.47,61,"[[[-1.0942282676696777, 6.349114418029785, -9.476447105407715, 0.1299552470445633, 3.95106840133667], [-15.993558883666992, 16.542190551757812, -9.900118827819824, -3.5111918449401855, 31.971717834472656], [-6.272061824798584, 4.541006565093994, 4.304874420166016, -9.714735984802246, -1.3250943422317505], [-4.973405838012695, -5.84304141998291, -5.72503137588501, -11.997209548950195, -5.514134883880615], [19.39852523803711, -3.084843158721924, -20.077116012573242, -16.679969787597656, 2.1060614585876465]], [0.09699232131242752, 7.6745452880859375, -13.318888664245605, -22.65520668029785, -24.358407974243164], [[16.51706314086914, -0.593075156211853, 7.858054161071777], [-17.732133865356445, -1.1718045473098755, -8.608487129211426], [-13.155115127563477, -10.57415771484375, 7.532717704772949], [4.966870307922363, -11.927528381347656, 10.233813285827637], [10.326951026916504, 33.117637634277344, -13.755793571472168]], [-2.311544418334961, -3.77921724319458, 16.576419830322266], [[4.248386859893799, 16.196266174316406, -8.284615516662598], [23.096088409423828, -21.867992401123047, 9.02946662902832], [17.95805549621582, -11.155821800231934, 19.451799392700195]], [-15.532500267028809, 10.271456718444824, -6.511012554168701], [[-19.653610229492188, -14.403410911560059], [5.62016487121582, -6.639475345611572], [-1.2768526077270508, -17.19957733154297]], [-17.822370529174805, 6.345546245574951]]"
362,13.00,12.27,62,"[[[2.475484848022461, 7.6870622634887695, -8.419658660888672, 0.2719956636428833, 4.054398536682129], [-14.980049133300781, 15.051023483276367, -11.168627738952637, -2.636026620864868, 32.81627655029297], [-3.971806526184082, 4.611403942108154, 4.51425838470459, -8.346643447875977, -2.0581395626068115], [-4.136953353881836, -5.92983341217041, -6.330463886260986, -10.398855209350586, -4.56436014175415], [19.372419357299805, -3.9239766597747803, -21.12432098388672, -15.43634033203125, 1.5596944093704224]], [-0.3090305030345917, 11.575634956359863, -14.949028968811035, -22.424116134643555, -22.410194396972656], [[14.803685188293457, -0.9851443767547607, 12.695443153381348], [-18.991811752319336, 0.18814118206501007, -4.628067493438721], [-12.540926933288574, -8.478297233581543, 9.857315063476562], [9.310349464416504, -12.020305633544922, 11.082298278808594], [11.769886016845703, 31.865705490112305, -13.19416618347168]], [-2.1323423385620117, -2.5454893112182617, 16.109975814819336], [[2.284724235534668, 15.703927993774414, -8.421825408935547], [24.92837142944336, -21.06998634338379, 9.352415084838867], [20.38474464416504, -10.057964324951172, 21.9387149810791]], [-13.068384170532227, 11.800293922424316, -7.835140228271484], [[-19.391338348388672, -14.941131591796875], [6.848972320556641, -5.750698089599609], [-1.6925818920135498, -18.32122039794922]], [-18.34502410888672, 7.873143196105957]]"
363,421.30,302.27,63,"[[[-0.3380245268344879, 9.01588249206543, -8.21911334991455, -0.0036690521519631147, 2.9562442302703857], [-15.7574462890625, 14.448016166687012, -10.582782745361328, -4.604918956756592, 32.13251495361328], [-5.805479526519775, 3.528179883956909, 2.613668918609619, -7.131814479827881, -2.5448899269104004], [-2.81937575340271, -6.701062202453613, -6.030759334564209, -12.165925979614258, -4.771022796630859], [18.59954261779785, -3.178072214126587, -19.732770919799805, -16.45928382873535, 0.1340440809726715]], [-1.1523085832595825, 11.447410583496094, -13.706336975097656, -22.913206100463867, -23.302780151367188], [[16.24355697631836, 1.1315134763717651, 10.995121002197266], [-17.890533447265625, 0.20770899951457977, -4.086275577545166], [-13.291617393493652, -9.251246452331543, 7.1021928787231445], [8.679038047790527, -13.805188179016113, 12.16368579864502], [10.184061050415039, 31.7695255279541, -13.84286117553711]], [-0.032062023878097534, -1.5230733156204224, 16.445301055908203], [[1.711340069770813, 15.477012634277344, -7.494673728942871], [24.60903549194336, -20.4829158782959, 9.978134155273438], [19.315120697021484, -8.925786972045898, 20.821910858154297]], [-14.195960998535156, 12.568357467651367, -6.432830810546875], [[-19.075868606567383, -15.083948135375977], [5.646511554718018, -6.686573028564453], [-1.4589663743972778, -19.638168334960938]], [-20.258968353271484, 8.937828063964844]]"
364,464.73,295.33,64,"[[[-2.1567492485046387, 7.192539215087891, -7.0760416984558105, -1.1828426122665405, 2.6388978958129883], [-15.377484321594238, 17.319011688232422, -9.876219749450684, -1.2129135131835938, 34.840057373046875], [-5.442218780517578, 5.717893600463867, 5.485383987426758, -10.609576225280762, -2.6484062671661377], [-3.5648458003997803, -6.421201229095459, -6.980442047119141, -11.397860527038574, -4.869766712188721], [17.254161834716797, -2.2557430267333984, -22.045934677124023, -18.320337295532227, 0.629443347454071]], [1.3025394678115845, 6.931997299194336, -13.631473541259766, -24.248802185058594, -23.91689682006836], [[16.300031661987305, 1.063028335571289, 9.346759796142578], [-17.045825958251953, -1.5076813697814941, -8.795699119567871], [-12.781885147094727, -9.775639533996582, 7.514210224151611], [6.1191792488098145, -9.63062858581543, 11.762971878051758], [10.646862983703613, 33.07917022705078, -14.82468318939209]], [-1.2062872648239136, -4.921796798706055, 17.67031478881836], [[7.1719536781311035, 16.823650360107422, -9.386068344116211], [22.7274169921875, -21.657167434692383, 7.27799654006958], [18.589595794677734, -10.857776641845703, 21.6455078125]], [-16.732995986938477, 11.04126262664795, -8.33257007598877], [[-19.173377990722656, -16.446853637695312], [4.705087184906006, -8.062395095825195], [-1.9492807388305664, -16.190567016601562]], [-17.493972778320312, 5.090451240539551]]"
365,428.37,147.80,65,"[[[-2.3028621673583984, 8.028220176696777, -7.8919291496276855, -1.2729963064193726, 2.564426898956299], [-14.736896514892578, 16.298242568969727, -10.429896354675293, -1.35909104347229, 35.6885871887207], [-5.048662185668945, 5.967198371887207, 6.619150638580322, -12.35158920288086, -3.5072498321533203], [-3.06160306930542, -6.199435710906982, -6.806623458862305, -10.933488845825195, -4.131421089172363], [17.64592170715332, -1.978694200515747, -22.883752822875977, -18.420114517211914, 1.340340256690979]], [1.204914927482605, 8.232951164245605, -11.917074203491211, -24.27707862854004, -23.697078704833984], [[16.211753845214844, 2.377195119857788, 9.863984107971191], [-17.32169532775879, -0.9008696675300598, -9.026206970214844], [-12.40389633178711, -9.754947662353516, 7.512488842010498], [5.960014820098877, -9.06914234161377, 10.765249252319336], [10.127490043640137, 32.91462326049805, -15.06562614440918]], [-2.437272310256958, -3.960376262664795, 18.439651489257812], [[7.04359245300293, 16.927030563354492, -8.835302352905273], [22.36099624633789, -20.77705192565918, 7.115131855010986], [19.531740188598633, -10.208064079284668, 21.74221420288086]], [-15.93695068359375, 12.20262622833252, -9.271620750427246], [[-19.712141036987305, -16.366613388061523], [5.218768119812012, -7.068458557128906], [-0.7458088397979736, -16.757402420043945]], [-18.042461395263672, 4.647124767303467]]"
366,358.02,241.70,66,"[[[-1.371726393699646, 3.4024055004119873, -8.569950103759766, 1.8500988483428955, 2.274488925933838], [-16.32333755493164, 15.326272010803223, -9.985954284667969, -0.41689780354499817, 30.51799964904785], [-5.031396865844727, 3.2572243213653564, 5.95421838760376, -4.485752105712891, -3.0024068355560303], [-4.027187824249268, -6.758852481842041, -6.572128772735596, -7.972775459289551, -5.017378330230713], [18.051105499267578, -7.05412483215332, -22.39235496520996, -15.826257705688477, 0.4192630350589752]], [1.6428823471069336, 9.238038063049316, -15.044964790344238, -24.972469329833984, -21.757673263549805], [[14.086941719055176, -2.6145031452178955, 5.4344964027404785], [-19.889768600463867, -1.0180450677871704, -8.642946243286133], [-14.252676010131836, -9.195117950439453, 10.929910659790039], [5.7849016189575195, -14.864230155944824, 11.000606536865234], [9.311851501464844, 36.28961944580078, -12.966729164123535]], [-0.9854792952537537, -3.371951103210449, 16.960020065307617], [[2.7873029708862305, 16.855737686157227, -11.058123588562012], [26.540693283081055, -22.728050231933594, 12.177101135253906], [23.92148208618164, -11.682944297790527, 20.53580093383789]], [-11.673995018005371, 14.08950424194336, -5.040760517120361], [[-19.53282356262207, -13.811911582946777], [3.7086434364318848, -5.277164459228516], [2.3337318897247314, -21.679288864135742]], [-18.030792236328125, 7.187307834625244]]"
367,366.08,273.60,67,"[[[-1.009656310081482, 3.2466366291046143, -7.181384086608887, 2.8836312294006348, 0.9816371202468872], [-16.213748931884766, 15.272404670715332, -8.284015655517578, -0.32828962802886963, 31.762317657470703], [-4.58679723739624, 2.232515811920166, 4.897823333740234, -5.377822399139404, -2.1458442211151123], [-3.683838129043579, -8.16564655303955, -5.675927639007568, -7.127533435821533, -6.151044845581055], [16.679794311523438, -8.145699501037598, -22.393199920654297, -15.779831886291504, -1.311765193939209]], [1.9846885204315186, 9.821588516235352, -13.958222389221191, -25.06844711303711, -21.8575496673584], [[15.289525985717773, -0.7861777544021606, 5.622330665588379], [-18.935279846191406, 0.8191485404968262, -8.845171928405762], [-14.665071487426758, -10.319849014282227, 9.08699893951416], [6.957692623138428, -12.80849838256836, 9.035211563110352], [8.635469436645508, 34.353302001953125, -13.002572059631348]], [-3.556844711303711, -2.9917221069335938, 17.12126922607422], [[4.234344959259033, 17.477298736572266, -11.38156795501709], [26.81488037109375, -22.410877227783203, 13.270835876464844], [21.420427322387695, -12.348430633544922, 18.468055725097656]], [-12.033946990966797, 15.422014236450195, -6.3100104331970215], [[-20.510784149169922, -13.994548797607422], [4.9805521965026855, -6.152566432952881], [0.5086601376533508, -18.39237403869629]], [-18.514516830444336, 7.374136447906494]]"
368,478.76,270.33,68,"[[[0.3059534728527069, 5.568479061126709, -6.47756814956665, 4.977542877197266, 2.952786684036255], [-17.619644165039062, 14.876940727233887, -9.439996719360352, -0.4005108177661896, 32.838035583496094], [-5.009027481079102, 4.309724807739258, 5.968203067779541, -6.11771297454834, -3.020627975463867], [-3.3718409538269043, -6.6210527420043945, -5.426522731781006, -7.163783073425293, -6.502966403961182], [16.476228713989258, -8.273804664611816, -23.388608932495117, -15.901556968688965, -2.0276968479156494]], [1.5223808288574219, 9.470357894897461, -14.823938369750977, -25.49549102783203, -21.391225814819336], [[14.57398509979248, -2.2681148052215576, 5.361384391784668], [-18.02418327331543, 0.8423010110855103, -9.668635368347168], [-17.40237808227539, -9.928208351135254, 10.815191268920898], [5.70262336730957, -13.91394329071045, 6.4914326667785645], [8.593250274658203, 35.58509063720703, -14.82241439819336]], [-2.749336004257202, -3.68353271484375, 17.81454086303711], [[2.4273300170898438, 16.285476684570312, -11.522887229919434], [27.272857666015625, -23.21074867248535, 12.97348403930664], [22.07959747314453, -12.488370895385742, 17.982196807861328]], [-10.60696029663086, 14.080567359924316, -7.237811088562012], [[-20.446529388427734, -15.585387229919434], [5.040811061859131, -6.092493534088135], [1.8328039646148682, -20.16078758239746]], [-17.09064483642578, 7.278899192810059]]"
369,465.32,282.47,69,"[[[-2.708181619644165, 2.9657397270202637, -8.762211799621582, 1.2826942205429077, 3.4810526371002197], [-19.669017791748047, 13.671798706054688, -7.06046199798584, -1.206693410873413, 30.826580047607422], [-5.144318103790283, 2.6670048236846924, 5.616265773773193, -6.883368015289307, -3.78503155708313], [-1.8856273889541626, -6.511733055114746, -6.642630577087402, -7.574553966522217, -7.234841346740723], [16.562498092651367, -7.2955098152160645, -22.920156478881836, -15.575467109680176, -1.5088411569595337]], [3.674922466278076, 7.9339680671691895, -14.83021354675293, -26.10279655456543, -21.905765533447266], [[16.11797523498535, -2.9987070560455322, 5.5085368156433105], [-17.094497680664062, -0.608945369720459, -11.040763854980469], [-14.989415168762207, -9.549246788024902, 10.024055480957031], [4.430240631103516, -11.89256763458252, 8.218521118164062], [9.17042350769043, 33.546287536621094, -13.966727256774902]], [0.7865566611289978, -2.3740124702453613, 18.22683334350586], [[5.990881443023682, 17.056209564208984, -10.54580020904541], [25.806018829345703, -23.24823570251465, 13.242183685302734], [23.407400131225586, -10.903757095336914, 18.990320205688477]], [-13.749897003173828, 15.63647747039795, -5.88311243057251], [[-21.448760986328125, -15.736199378967285], [6.231775283813477, -5.93497896194458], [3.3323137760162354, -19.763980865478516]], [-17.50727653503418, 9.212510108947754]]"
370,357.50,208.40,70,"[[[-1.806886911392212, 5.900661468505859, -8.187080383300781, -0.38387003540992737, 3.612583875656128], [-16.352073669433594, 13.208230018615723, -11.693445205688477, 0.0533081591129303, 29.814273834228516], [-8.687722206115723, 2.2020649909973145, 6.180832386016846, -5.213766098022461, -2.159729480743408], [-0.12520413100719452, -7.337430953979492, -6.020572185516357, -8.928417205810547, -5.684894561767578], [17.33625602722168, -6.358118057250977, -22.20303726196289, -17.307056427001953, -1.9072102308273315]], [4.000518321990967, 10.180646896362305, -14.460015296936035, -23.514554977416992, -20.702171325683594], [[13.864989280700684, -1.688786506652832, 9.995097160339355], [-18.800508499145508, 0.4395100474357605, -6.319608688354492], [-15.26258373260498, -5.969907283782959, 11.440567016601562], [6.072142124176025, -12.857057571411133, 11.10773754119873], [10.073629379272461, 38.746158599853516, -10.463950157165527]], [-2.168921947479248, -2.9002809524536133, 17.40300941467285], [[4.897650241851807, 15.550162315368652, -11.67444133758545], [28.988019943237305, -22.792259216308594, 10.378021240234375], [20.671401977539062, -10.61290168762207, 19.77045440673828]], [-12.358414649963379, 13.25369930267334, -3.483564615249634], [[-18.1466064453125, -12.186647415161133], [3.684398889541626, -4.615128040313721], [1.672667384147644, -21.673847198486328]], [-17.874286651611328, 4.704043388366699]]"
